raw_string,normalized_string,source,molecule_id
lantus,lantus,manual,MOL-01092
huminsulin,huminsulin,manual,MOL-01088
mixtard,mixtard,manual,MOL-01088
ecosprin,ecosprin,manual,MOL-00024
disprin,disprin,manual,MOL-00024
loprin,loprin,manual,MOL-00024
clopilet,clopilet,manual,MOL-00473
plavix,plavix,manual,MOL-00473
deplatt,deplatt,manual,MOL-00473
warf,warf,manual,MOL-02304
uniwarfin,uniwarfin,manual,MOL-02304
atorva,atorva,manual,MOL-00156
storvas,storvas,manual,MOL-00156
lipvas,lipvas,manual,MOL-00156
rosuvas,rosuvas,manual,MOL-01903
crestor,crestor,manual,MOL-01903
amlong,amlong,manual,MOL-00097
amlopres,amlopres,manual,MOL-00097
stamlo,stamlo,manual,MOL-00097
telma,telma,manual,MOL-02072
telvas,telvas,manual,MOL-02072
losar,losar,manual,MOL-01288
repace,repace,manual,MOL-01288
envas,envas,manual,MOL-00738
zestril,zestril,manual,MOL-01270
ramipres,ramipres,manual,MOL-01836
cardace,cardace,manual,MOL-01836
concor,concor,manual,MOL-00254
metolar,metolar,manual,MOL-01407
betaloc,betaloc,manual,MOL-01407
aten,aten,manual,MOL-00153
ciplar,ciplar,manual,MOL-01799
dytor,dytor,manual,MOL-02165
lasix,lasix,manual,MOL-00919
mox,mox,manual,MOL-00102
novamox,novamox,manual,MOL-00102
amoxil,amoxil,manual,MOL-00102
azithral,azithral,manual,MOL-00177
azee,azee,manual,MOL-00177
zithromax,zithromax,manual,MOL-00177
taxim o,taxim o,manual,MOL-00368
zifi,zifi,manual,MOL-00368
cefspan,cefspan,manual,MOL-00368
ciplox,ciplox,manual,MOL-00445
cifran,cifran,manual,MOL-00445
zenflox,zenflox,manual,MOL-01558
oflox,oflox,manual,MOL-01558
levoflox,levoflox,manual,MOL-01242
monocef,monocef,manual,MOL-00383
flagyl,flagyl,manual,MOL-01410
metrogyl,metrogyl,manual,MOL-01410
zentel,zentel,manual,MOL-00041
bandy,bandy,manual,MOL-00041
fluka,fluka,manual,MOL-00864
forcan,forcan,manual,MOL-00864
sporlac,sporlac,manual,MOL-01197
cetzine,cetzine,manual,MOL-00394
alerid,alerid,manual,MOL-00394
okacet,okacet,manual,MOL-00394
levocet,levocet,manual,MOL-01237
xyzal,xyzal,manual,MOL-01237
teczine,teczine,manual,MOL-01237
montair,montair,manual,MOL-01453
allegra,allegra,manual,MOL-00851
avil,avil,manual,MOL-01699
atarax,atarax,manual,MOL-01047
asthalin,asthalin,manual,MOL-01923
ventolin,ventolin,manual,MOL-01923
levolin,levolin,manual,MOL-01249
budecort,budecort,manual,MOL-00287
thyronorm,thyronorm,manual,MOL-01251
eltroxin,eltroxin,manual,MOL-01251
thyrox,thyrox,manual,MOL-01251
wysolone,wysolone,manual,MOL-01773
omnacortil,omnacortil,manual,MOL-01773
medrol,medrol,manual,MOL-01397
decdan,decdan,manual,MOL-00591
alprax,alprax,manual,MOL-00071
restyl,restyl,manual,MOL-00071
calmpose,calmpose,manual,MOL-00616
valium,valium,manual,MOL-00616
nexito,nexito,manual,MOL-00773
cipralex,cipralex,manual,MOL-00773
zoloft,zoloft,manual,MOL-01959
daxid,daxid,manual,MOL-01959
prozac,prozac,manual,MOL-00878
gabapin,gabapin,manual,MOL-00921
pregabid,pregabid,manual,MOL-01776
lyrica,lyrica,manual,MOL-01776
eptoin,eptoin,manual,MOL-01713
levipil,levipil,manual,MOL-01227
calcimax,calcimax,manual,MOL-00309
becosules,becosules,manual,MOL-01463
neurobion,neurobion,manual,MOL-01463
zincovit,zincovit,manual,MOL-01463
orofer,orofer,manual,MOL-01128
viagra,viagra,manual,MOL-01965
manforce,manforce,manual,MOL-01965
