molecule_id,inn_name,category,in_pmbjp,in_ddinter,in_nppa,sources,pmbjp_product_count
MOL-00092,aminosalicylic acid,small_molecule,false,true,true,ddinter|nppa,0
MOL-00093,amiodarone,small_molecule,true,true,true,pmbjp|ddinter|nppa,2
MOL-00094,amisulpride,small_molecule,true,true,false,pmbjp|ddinter,9
MOL-00095,amitriptyline,small_molecule,true,true,true,pmbjp|ddinter|nppa,7
MOL-00096,amitriptyline hydrochloride chlordiazepoxide,small_molecule,true,false,false,pmbjp,1
MOL-00097,amlodipine,small_molecule,true,true,true,pmbjp|ddinter|nppa,30
MOL-00098,ammonium,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00099,amobarbital,small_molecule,false,true,false,ddinter,0
MOL-00100,amorolfine,small_molecule,true,false,false,pmbjp,2
MOL-00101,amoxapine,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00102,amoxicillin,small_molecule,true,true,true,pmbjp|ddinter|nppa,23
MOL-00103,amphetamine,small_molecule,false,true,false,ddinter,0
MOL-00104,amphotericin b,small_molecule,false,true,true,ddinter|nppa,0
MOL-00105,ampicillin,small_molecule,true,true,true,pmbjp|ddinter|nppa,4
MOL-00106,amprenavir,small_molecule,false,true,false,ddinter,0
MOL-00107,amrinone,small_molecule,false,true,false,ddinter,0
MOL-00108,amyl nitrite,small_molecule,false,true,false,ddinter,0
MOL-00109,anagrelide,small_molecule,false,true,false,ddinter,0
MOL-00110,anakinra,small_molecule,false,true,false,ddinter,0
MOL-00111,anastrozole,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00112,anidulafungin,small_molecule,false,true,false,ddinter,0
MOL-00113,anise oil,small_molecule,true,false,false,pmbjp,1
MOL-00114,anisindione,small_molecule,false,true,false,ddinter,0
MOL-00115,anistreplase,small_molecule,false,true,false,ddinter,0
MOL-00116,anthrax vaccine,vaccine,false,true,false,ddinter,0
MOL-00117,anti-d immunoglobulin,small_molecule,true,false,true,pmbjp|nppa,1
MOL-00118,anti-inhibitor coagulant complex,small_molecule,false,true,false,ddinter,0
MOL-00119,anti-rabies immunoglobulin,small_molecule,false,false,true,nppa,0
MOL-00120,anti-tetanus immunoglobulin,small_molecule,false,false,true,nppa,0
MOL-00121,antihemophilic factor human recombinant,small_molecule,false,true,false,ddinter,0
MOL-00122,antilymphocyte immunoglobulin,small_molecule,false,true,false,ddinter,0
MOL-00123,antioxidant,small_molecule,true,false,false,pmbjp,1
MOL-00124,antithrombin alfa,small_molecule,false,true,false,ddinter,0
MOL-00125,antithrombin iii human,small_molecule,false,true,false,ddinter,0
MOL-00126,antithymocyte immunoglobulin,small_molecule,false,true,false,ddinter,0
MOL-00127,apalutamide,small_molecule,false,true,false,ddinter,0
MOL-00128,apixaban,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00129,apomorphine,small_molecule,false,true,false,ddinter,0
MOL-00130,apraclonidine,small_molecule,false,true,false,ddinter,0
MOL-00131,apremilast,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00132,aprepitant,small_molecule,false,true,false,ddinter,0
MOL-00133,aprotinin,small_molecule,false,true,false,ddinter,0
MOL-00134,arbutamine,small_molecule,false,true,false,ddinter,0
MOL-00135,ardeparin,small_molecule,false,true,false,ddinter,0
MOL-00136,arformoterol,small_molecule,false,true,false,ddinter,0
MOL-00137,argatroban,small_molecule,false,true,false,ddinter,0
MOL-00138,aripiprazole,small_molecule,true,true,false,pmbjp|ddinter,7
MOL-00139,armodafinil,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00140,arsenic trioxide,small_molecule,false,true,true,ddinter|nppa,0
MOL-00141,arteether,small_molecule,true,false,false,pmbjp,2
MOL-00142,artemether,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00143,artesunate,small_molecule,true,true,true,pmbjp|ddinter|nppa,4
MOL-00144,articaine,small_molecule,false,true,false,ddinter,0
MOL-00145,ascorbic acid,small_molecule,true,true,true,pmbjp|ddinter|nppa,5
MOL-00146,asenapine,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00147,asparaginase,small_molecule,false,false,true,nppa,0
MOL-00148,asparaginase erwinia chrysanthemi,small_molecule,false,true,false,ddinter,0
MOL-00149,asparaginase escherichia coli,small_molecule,false,true,false,ddinter,0
MOL-00150,astaxanthin,small_molecule,true,false,false,pmbjp,2
MOL-00151,astemizole,small_molecule,false,true,false,ddinter,0
MOL-00152,atazanavir,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00153,atenolol,small_molecule,true,true,true,pmbjp|ddinter|nppa,10
MOL-00154,atezolizumab,biologic,false,true,false,ddinter,0
MOL-00155,atomoxetine,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00156,atorvastatin,small_molecule,true,true,true,pmbjp|ddinter|nppa,20
MOL-00157,atovaquone,small_molecule,false,true,false,ddinter,0
MOL-00158,atracurium,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00159,atropine,small_molecule,true,true,true,pmbjp|ddinter|nppa,2
MOL-00160,attapulgite,small_molecule,false,true,false,ddinter,0
MOL-00161,auranofin,small_molecule,false,true,false,ddinter,0
MOL-00162,aurothioglucose,small_molecule,false,true,false,ddinter,0
MOL-00163,avanafil,small_molecule,false,true,false,ddinter,0
MOL-00164,avapritinib,small_molecule,false,true,false,ddinter,0
MOL-00165,avatrombopag,small_molecule,false,true,false,ddinter,0
MOL-00166,avelumab,biologic,false,true,false,ddinter,0
MOL-00167,avibactam concentrate,small_molecule,true,false,false,pmbjp,1
MOL-00168,axicabtagene ciloleucel,small_molecule,false,true,false,ddinter,0
MOL-00169,axitinib,small_molecule,false,true,false,ddinter,0
MOL-00170,azacitidine,small_molecule,false,true,false,ddinter,0
MOL-00171,azatadine,small_molecule,false,true,false,ddinter,0
MOL-00172,azathioprine,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00173,azelaic acid,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00174,azelastine,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00175,azelnidipine,small_molecule,true,false,false,pmbjp,3
MOL-00176,azilsartan,small_molecule,true,true,false,pmbjp|ddinter,5
MOL-00177,azithromycin,small_molecule,true,true,true,pmbjp|ddinter|nppa,6
MOL-00178,aztreonam,small_molecule,false,true,false,ddinter,0
MOL-00179,b-complex,small_molecule,true,false,false,pmbjp,1
MOL-00180,baby wipes,small_molecule,true,false,false,pmbjp,1
MOL-00181,bacampicillin,small_molecule,false,true,false,ddinter,0
MOL-00182,bacillus calmette-guerin substrain tice live antigen,small_molecule,false,true,false,ddinter,0
MOL-00183,bacillus clausii,small_molecule,true,false,false,pmbjp,1
MOL-00184,bacitracin,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00185,bacitracin zinc,small_molecule,true,false,false,pmbjp,2
MOL-00186,baclofen,small_molecule,true,true,true,pmbjp|ddinter|nppa,3
MOL-00187,bal raksha,small_molecule,true,false,false,pmbjp,1
MOL-00188,baloxavir marboxil,small_molecule,false,true,false,ddinter,0
MOL-00189,balsalazide,small_molecule,false,true,false,ddinter,0
MOL-00190,bare metal stents,small_molecule,false,false,true,nppa,0
MOL-00191,baricitinib,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00192,barium,small_molecule,false,false,true,nppa,0
MOL-00193,basiliximab,biologic,false,true,false,ddinter,0
MOL-00194,bazedoxifene,small_molecule,false,true,false,ddinter,0
MOL-00195,beclometasone,small_molecule,true,false,false,pmbjp,1
MOL-00196,beclomethasone,small_molecule,true,true,false,pmbjp|ddinter,14
MOL-00197,beclomethasone respicaps,small_molecule,true,false,false,pmbjp,1
MOL-00198,bedaquiline,small_molecule,false,true,false,ddinter,0
MOL-00199,belantamab mafodotin,biologic,false,true,false,ddinter,0
MOL-00200,belatacept,small_molecule,false,true,false,ddinter,0
MOL-00201,belimumab,biologic,false,true,false,ddinter,0
MOL-00202,belinostat,small_molecule,false,true,false,ddinter,0
MOL-00203,belladonna,small_molecule,false,true,false,ddinter,0
MOL-00204,bempedoic acid,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00205,benazepril,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00206,bendamustine,small_molecule,false,true,false,ddinter,0
MOL-00207,bendroflumethiazide,small_molecule,false,true,false,ddinter,0
MOL-00208,benedipine,small_molecule,true,false,false,pmbjp,1
MOL-00209,benfotiamine,small_molecule,true,false,false,pmbjp,1
MOL-00210,benidipine,small_molecule,true,false,false,pmbjp,3
MOL-00211,benzalkonium,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00212,benzatropine,small_molecule,false,true,false,ddinter,0
MOL-00213,benzethonium,small_molecule,true,false,false,pmbjp,1
MOL-00214,benzhydrocodone,small_molecule,false,true,false,ddinter,0
MOL-00215,benznidazole,small_molecule,false,true,false,ddinter,0
MOL-00216,benzocaine,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00217,benzoic acid,small_molecule,true,false,false,pmbjp,2
MOL-00218,benzonatate,small_molecule,false,true,false,ddinter,0
MOL-00219,benzoyl peroxide,small_molecule,true,true,true,pmbjp|ddinter|nppa,4
MOL-00220,benzphetamine,small_molecule,false,true,false,ddinter,0
MOL-00221,benzthiazide,small_molecule,false,true,false,ddinter,0
MOL-00222,benzyl,small_molecule,true,false,false,pmbjp,1
MOL-00223,benzylpenicillin,small_molecule,false,true,false,ddinter,0
MOL-00224,bepotastine,small_molecule,true,false,false,pmbjp,1
MOL-00225,bepridil,small_molecule,false,true,false,ddinter,0
MOL-00226,berotralstat,small_molecule,false,true,false,ddinter,0
MOL-00227,beta carotene,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00228,betahistine,small_molecule,true,false,false,pmbjp,4
MOL-00229,betamethasone,small_molecule,true,true,true,pmbjp|ddinter|nppa,10
MOL-00230,betaxolol,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00231,bethanechol,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00232,betrixaban,small_molecule,false,true,false,ddinter,0
MOL-00233,bevacizumab,biologic,false,true,false,ddinter,0
MOL-00234,bexarotene,small_molecule,false,true,false,ddinter,0
MOL-00235,bicalutamide,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00236,bictegravir,small_molecule,false,true,false,ddinter,0
MOL-00237,bifidobacterium longum infantis,small_molecule,false,true,false,ddinter,0
MOL-00238,bifonazole,small_molecule,true,false,false,pmbjp,1
MOL-00239,bilastine,small_molecule,true,false,false,pmbjp,2
MOL-00240,bilastine montelukast,small_molecule,true,false,false,pmbjp,1
MOL-00241,bilberry extract,small_molecule,true,false,false,pmbjp,1
MOL-00242,bimatoprost,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00243,binimetinib,small_molecule,false,true,false,ddinter,0
MOL-00244,bioresorbable vascular scaffold biodegradable stents vaccine,vaccine,false,false,true,nppa,0
MOL-00245,biotin,small_molecule,true,false,false,pmbjp,3
MOL-00246,biperiden,small_molecule,false,true,false,ddinter,0
MOL-00247,biphasic insulin lispro,biologic,true,false,false,pmbjp,1
MOL-00248,biphasic isophane insulin,biologic,true,false,false,pmbjp,1
MOL-00249,biphasic isophane insulin soluble insulin,biologic,true,false,false,pmbjp,1
MOL-00250,bisacodyl,small_molecule,true,true,true,pmbjp|ddinter|nppa,3
MOL-00251,bismuth subcitrate,small_molecule,false,true,false,ddinter,0
MOL-00252,bismuth subgallate,small_molecule,false,true,false,ddinter,0
MOL-00253,bismuth subsalicylate,small_molecule,false,true,false,ddinter,0
MOL-00254,bisoprolol,small_molecule,true,true,false,pmbjp|ddinter,7
MOL-00255,bivalirudin,small_molecule,false,true,false,ddinter,0
MOL-00256,bleaching,small_molecule,false,false,true,nppa,0
MOL-00257,bleomycin,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00258,blinatumomab,biologic,false,true,false,ddinter,0
MOL-00259,boceprevir,small_molecule,false,true,false,ddinter,0
MOL-00260,bone wax,small_molecule,true,false,false,pmbjp,1
MOL-00261,bortezomib,small_molecule,true,true,true,pmbjp|ddinter|nppa,3
MOL-00262,bosentan,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00263,bosutinib,small_molecule,false,true,false,ddinter,0
MOL-00264,boswellia serrata extract,herbal,true,false,false,pmbjp,1
MOL-00265,botulinum toxin a,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00266,botulinum toxin b,small_molecule,false,true,false,ddinter,0
MOL-00267,breathing exerciser,small_molecule,true,false,false,pmbjp,1
MOL-00268,bremelanotide,small_molecule,false,true,false,ddinter,0
MOL-00269,brentuximab vedotin,biologic,false,true,false,ddinter,0
MOL-00270,bretylium,small_molecule,false,true,false,ddinter,0
MOL-00271,brexanolone,small_molecule,false,true,false,ddinter,0
MOL-00272,brexpiprazole,small_molecule,false,true,false,ddinter,0
MOL-00273,brexucabtagene autoleucel,small_molecule,false,true,false,ddinter,0
MOL-00274,brigatinib,small_molecule,false,true,false,ddinter,0
MOL-00275,brimonidine,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00276,brinzolamide,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00277,brivaracetam,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00278,brodalumab,biologic,false,true,false,ddinter,0
MOL-00279,bromelain,small_molecule,true,false,false,pmbjp,2
MOL-00280,bromfenac,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00281,bromhexine,small_molecule,true,false,false,pmbjp,2
MOL-00282,bromhexine expectorant,small_molecule,true,false,false,pmbjp,1
MOL-00283,bromocriptine,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00284,bromotheophylline,small_molecule,false,true,false,ddinter,0
MOL-00285,brompheniramine,small_molecule,false,true,false,ddinter,0
MOL-00286,brucella abortus vaccine live freeze dried,vaccine,false,false,true,nppa,0
MOL-00287,budesonide,small_molecule,true,true,true,pmbjp|ddinter|nppa,12
MOL-00288,budesonide respirator,small_molecule,true,false,false,pmbjp,2
MOL-00289,bumetanide,small_molecule,false,true,false,ddinter,0
MOL-00290,bupivacaine,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00291,buprenorphine,small_molecule,false,true,false,ddinter,0
MOL-00292,bupropion,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00293,burosumab,biologic,false,true,false,ddinter,0
MOL-00294,buspirone,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00295,busulfan,small_molecule,false,true,false,ddinter,0
MOL-00296,butabarbital,small_molecule,false,true,false,ddinter,0
MOL-00297,butalbital,small_molecule,false,true,false,ddinter,0
MOL-00298,butorphanol,small_molecule,false,true,false,ddinter,0
MOL-00299,cabazitaxel,small_molecule,false,true,false,ddinter,0
MOL-00300,cabergoline,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00301,cabotegravir,small_molecule,false,true,false,ddinter,0
MOL-00302,cabozantinib,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00303,caffeine,small_molecule,true,true,true,pmbjp|ddinter|nppa,4
MOL-00304,calamine,small_molecule,true,false,true,pmbjp|nppa,2
MOL-00305,calaspargase pegol,small_molecule,false,true,false,ddinter,0
MOL-00306,calcifediol,small_molecule,false,true,false,ddinter,0
MOL-00307,calcipotriol,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00308,calcitriol,small_molecule,true,true,false,pmbjp|ddinter,8
MOL-00309,calcium,small_molecule,true,true,true,pmbjp|ddinter|nppa,21
MOL-00310,calcium dobesilate,small_molecule,true,false,false,pmbjp,2
MOL-00311,calcium glubionate,small_molecule,false,true,false,ddinter,0
MOL-00312,calcium glucoheptonate,small_molecule,false,true,false,ddinter,0
MOL-00313,calcium glycerophosphate,small_molecule,false,true,false,ddinter,0
MOL-00314,calcium lactobionate,small_molecule,true,false,false,pmbjp,1
MOL-00315,calcium magnesium zinc,small_molecule,true,false,false,pmbjp,1
MOL-00316,calcium pant,small_molecule,true,false,false,pmbjp,1
MOL-00317,calcium pantothenate,small_molecule,true,false,false,pmbjp,1
MOL-00318,calcium polystyrene sulphonate,small_molecule,true,false,false,pmbjp,1
MOL-00319,camylofin,small_molecule,true,false,false,pmbjp,1
MOL-00320,canagliflozin,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00321,canakinumab,biologic,false,true,false,ddinter,0
MOL-00322,candida albicans,small_molecule,false,true,false,ddinter,0
MOL-00323,cangrelor,small_molecule,false,true,false,ddinter,0
MOL-00324,cannabidiol,small_molecule,false,true,false,ddinter,0
MOL-00325,capecitabine,small_molecule,true,true,true,pmbjp|ddinter|nppa,1
MOL-00326,caplacizumab,biologic,false,true,false,ddinter,0
MOL-00327,capmatinib,small_molecule,false,true,false,ddinter,0
MOL-00328,capreomycin,small_molecule,false,true,true,ddinter|nppa,0
MOL-00329,capromab pendetide,biologic,false,true,false,ddinter,0
MOL-00330,capsicum,small_molecule,false,true,false,ddinter,0
MOL-00331,captopril,small_molecule,false,true,false,ddinter,0
MOL-00332,caraway oil,small_molecule,true,false,false,pmbjp,1
MOL-00333,carbamazepine,small_molecule,true,true,true,pmbjp|ddinter|nppa,3
MOL-00334,carbamoylcholine,small_molecule,false,true,false,ddinter,0
MOL-00335,carbenicillin,small_molecule,false,true,false,ddinter,0
MOL-00336,carbetocin,small_molecule,true,false,false,pmbjp,1
MOL-00337,carbidopa,small_molecule,true,false,true,pmbjp|nppa,6
MOL-00338,carbimazole,small_molecule,true,false,true,pmbjp|nppa,3
MOL-00339,carbinoxamine,small_molecule,false,true,false,ddinter,0
MOL-00340,carbonyl iron,small_molecule,true,false,false,pmbjp,2
MOL-00341,carboplatin,small_molecule,true,true,true,pmbjp|ddinter|nppa,2
MOL-00342,carboprost,small_molecule,true,false,false,pmbjp,2
MOL-00343,carboxymethlycellulose,small_molecule,true,false,false,pmbjp,1
MOL-00344,carboxymethylcell ulose,small_molecule,false,false,true,nppa,0
MOL-00345,carfilzomib,small_molecule,false,true,false,ddinter,0
MOL-00346,carica papaya leaf extract,herbal,true,false,false,pmbjp,1
MOL-00347,cariprazine,small_molecule,true,true,false,pmbjp|ddinter,4
MOL-00348,carisoprodol,small_molecule,false,true,false,ddinter,0
MOL-00349,carmellose,small_molecule,true,false,false,pmbjp,1
MOL-00350,carmustine,small_molecule,false,true,false,ddinter,0
MOL-00351,carteolol,small_molecule,false,true,false,ddinter,0
MOL-00352,carvedilol,small_molecule,true,true,false,pmbjp|ddinter,5
MOL-00353,caspofungin,small_molecule,false,true,false,ddinter,0
MOL-00354,castor oil,small_molecule,false,true,false,ddinter,0
MOL-00355,cedazuridine,small_molecule,false,true,false,ddinter,0
MOL-00356,cefaclor,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00357,cefadroxil,small_molecule,true,true,true,pmbjp|ddinter|nppa,3
MOL-00358,cefalexin,small_molecule,true,false,false,pmbjp,5
MOL-00359,cefalotin,small_molecule,false,true,false,ddinter,0
MOL-00360,cefamandole,small_molecule,false,true,false,ddinter,0
MOL-00361,cefapirin,small_molecule,false,true,false,ddinter,0
MOL-00362,cefazolin,small_molecule,true,true,false,pmbjp|ddinter,3
MOL-00363,cefdinir,small_molecule,true,true,false,pmbjp|ddinter,2
MOL-00364,cefditoren,small_molecule,false,true,false,ddinter,0
MOL-00365,cefepime,small_molecule,true,true,false,pmbjp|ddinter,1
MOL-00366,cefepime inection,small_molecule,true,false,false,pmbjp,1
MOL-00367,cefiderocol,small_molecule,false,true,false,ddinter,0
MOL-00368,cefixime,small_molecule,true,true,true,pmbjp|ddinter|nppa,11
MOL-00369,cefmetazole,small_molecule,false,true,false,ddinter,0
MOL-00370,cefonicid,small_molecule,false,true,false,ddinter,0
MOL-00371,cefoperazone,small_molecule,true,true,false,pmbjp|ddinter,5
MOL-00372,cefotaxime,small_molecule,true,true,true,pmbjp|ddinter|nppa,6
MOL-00373,cefotetan,small_molecule,false,true,false,ddinter,0
MOL-00374,cefoxitin,small_molecule,false,true,false,ddinter,0
MOL-00375,cefpodoxime,small_molecule,true,true,false,pmbjp|ddinter,7
MOL-00376,cefprozil,small_molecule,true,true,false,pmbjp|ddinter,4
MOL-00377,cefradine,small_molecule,false,true,false,ddinter,0
MOL-00378,ceftaroline fosamil,small_molecule,false,true,false,ddinter,0
MOL-00379,ceftazidime,small_molecule,true,true,true,pmbjp|ddinter|nppa,6
MOL-00380,ceftibuten,small_molecule,false,true,false,ddinter,0
MOL-00381,ceftizoxime,small_molecule,false,true,false,ddinter,0
MOL-00382,ceftolozane,small_molecule,false,true,false,ddinter,0
MOL-00383,ceftriaxone,small_molecule,true,true,true,pmbjp|ddinter|nppa,9
MOL-00384,cefuroxime,small_molecule,true,true,false,pmbjp|ddinter,6
MOL-00385,celecoxib,small_molecule,false,true,false,ddinter,0
MOL-00386,cemiplimab,biologic,false,true,false,ddinter,0
MOL-00387,cenobamate,small_molecule,false,true,false,ddinter,0
MOL-00388,centbucridine,small_molecule,true,false,false,pmbjp,1
MOL-00389,cephalexin,small_molecule,false,true,false,ddinter,0
MOL-00390,cerebroprotein hydrolysate,small_molecule,true,false,false,pmbjp,2
MOL-00391,ceritinib,small_molecule,false,true,false,ddinter,0
MOL-00392,cerivastatin,small_molecule,false,true,false,ddinter,0
MOL-00393,certolizumab pegol,biologic,false,true,false,ddinter,0
