product_id,molecule_id,strength,unit
PMBJP-61,MOL-02028,250.0,mg
PMBJP-62,MOL-00372,1.0,g
PMBJP-63,MOL-00372,250.0,mg
PMBJP-64,MOL-00372,500.0,mg
PMBJP-65,MOL-00375,100.0,mg
PMBJP-66,MOL-00375,200.0,mg
PMBJP-67,MOL-00379,1.0,g
PMBJP-68,MOL-00379,250.0,mg
PMBJP-69,MOL-00379,500.0,mg
PMBJP-70,MOL-00383,1.0,g
PMBJP-70,MOL-02028,500.0,mg
PMBJP-71,MOL-00383,1.0,g
PMBJP-71,MOL-02062,125.0,mg
PMBJP-72,MOL-00177,500.0,mg
PMBJP-73,MOL-00383,250.0,mg
PMBJP-73,MOL-02028,125.0,mg
PMBJP-74,MOL-00383,500.0,mg
PMBJP-74,MOL-02028,250.0,mg
PMBJP-75,MOL-00383,1.0,g
PMBJP-76,MOL-00383,250.0,mg
PMBJP-77,MOL-00383,500.0,mg
PMBJP-78,MOL-00384,250.0,mg
PMBJP-79,MOL-00384,500.0,mg
PMBJP-80,MOL-00389,125.0,mg
PMBJP-81,MOL-00389,250.0,mg
PMBJP-82,MOL-00389,500.0,mg
PMBJP-83,MOL-00445,250.0,mg
PMBJP-83,MOL-02133,300.0,mg
PMBJP-84,MOL-00445,500.0,mg
PMBJP-84,MOL-02133,600.0,mg
PMBJP-85,MOL-00445,250.0,mg
PMBJP-86,MOL-00445,500.0,mg
PMBJP-87,MOL-00476,1.0,%
PMBJP-88,MOL-00481,200.0,mg
PMBJP-88,MOL-02203,40.0,mg
PMBJP-89,MOL-00481,800.0,mg
PMBJP-89,MOL-02203,160.0,mg
PMBJP-90,MOL-00481,100.0,mg
PMBJP-90,MOL-02203,20.0,mg
PMBJP-92,MOL-00690,100.0,mg
PMBJP-93,MOL-00770,250.0,mg
PMBJP-94,MOL-00947,80.0,mg
PMBJP-95,MOL-01242,250.0,mg
PMBJP-96,MOL-01242,500.0,mg
PMBJP-97,MOL-01359,1.0,g
PMBJP-98,MOL-01544,400.0,mg
PMBJP-98,MOL-02133,600.0,mg
PMBJP-99,MOL-01544,400.0,mg
PMBJP-100,MOL-01558,200.0,mg
PMBJP-100,MOL-01586,500.0,mg
PMBJP-101,MOL-01558,200.0,mg
PMBJP-102,MOL-01558,400.0,mg
PMBJP-103,MOL-01726,4000.0,mg
PMBJP-103,MOL-02063,500.0,mg
PMBJP-104,MOL-01906,50.0,mg
PMBJP-105,MOL-01906,150.0,mg
PMBJP-106,MOL-01906,300.0,mg
PMBJP-107,MOL-02133,300.0,mg
PMBJP-108,MOL-02133,500.0,mg
PMBJP-109,MOL-02254,500.0,mg
PMBJP-110,MOL-00033,,
PMBJP-112,MOL-00196,,
PMBJP-112,MOL-00476,,
PMBJP-112,MOL-00947,,
PMBJP-113,MOL-00196,,
PMBJP-113,MOL-01501,,
PMBJP-115,MOL-00304,,
PMBJP-117,MOL-00408,0.2,%
PMBJP-118,MOL-00463,0.05,%
PMBJP-120,MOL-00920,2.0,%
PMBJP-122,MOL-01175,2.0,%
PMBJP-124,MOL-01761,5.0,%
PMBJP-125,MOL-01761,5.0,%
PMBJP-126,MOL-01761,10.0,%
PMBJP-127,MOL-01761,5.0,%
PMBJP-129,MOL-01761,7.5,%
PMBJP-131,MOL-01970,1.0,%
PMBJP-131,MOL-00408,0.2,%
PMBJP-131,MOL-00058,0.1,%
PMBJP-131,MOL-00062,15.0,%
PMBJP-132,MOL-01970,1.0,%
PMBJP-132,MOL-00408,0.2,%
PMBJP-132,MOL-00058,0.1,%
PMBJP-132,MOL-00062,15.0,%
PMBJP-133,MOL-00972,2.5,mg
PMBJP-134,MOL-00972,5.0,mg
PMBJP-135,MOL-00961,40.0,mg
PMBJP-136,MOL-00961,80.0,mg
PMBJP-137,MOL-00962,1.0,mg
PMBJP-138,MOL-00962,2.0,mg
PMBJP-141,MOL-00964,5.0,mg
PMBJP-142,MOL-02000,40.0,iu
PMBJP-143,MOL-01095,30.0,%
PMBJP-143,MOL-01140,70.0,%
PMBJP-144,MOL-01368,1000.0,mg
PMBJP-145,MOL-01368,500.0,mg
PMBJP-147,MOL-01724,30.0,mg
PMBJP-150,MOL-01724,15.0,mg
PMBJP-150,MOL-01368,500.0,mg
PMBJP-152,MOL-00257,15.0,iu
PMBJP-153,MOL-00448,10.0,mg
PMBJP-154,MOL-00448,50.0,mg
PMBJP-156,MOL-00689,50.0,mg
PMBJP-158,MOL-00809,100.0,mg
PMBJP-159,MOL-00943,1000.0,mg
PMBJP-160,MOL-00943,200.0,mg
PMBJP-163,MOL-02054,10.0,mg
PMBJP-164,MOL-02054,20.0,mg
PMBJP-165,MOL-00445,200.0,mg
PMBJP-170,MOL-01315,20.0,%
PMBJP-171,MOL-01315,20.0,%
PMBJP-172,MOL-01410,500.0,mg
PMBJP-177,MOL-00041,200.0,mg
PMBJP-178,MOL-00041,400.0,mg
PMBJP-178,MOL-01158,6.0,mg
PMBJP-180,MOL-00250,5.0,mg
PMBJP-181,MOL-02186,275.0,mg
PMBJP-181,MOL-00534,2.0,mg
PMBJP-183,MOL-00626,10.0,mg
PMBJP-184,MOL-00018,325.0,mg
PMBJP-184,MOL-00626,20.0,mg
PMBJP-186,MOL-00673,10.0,mg
PMBJP-187,MOL-00673,5.0,mg
PMBJP-188,MOL-00694,250.0,mg
PMBJP-188,MOL-01312,50.0,mg
PMBJP-188,MOL-00030,250.0,mg
PMBJP-191,MOL-00825,20.0,mg
PMBJP-192,MOL-00825,40.0,mg
PMBJP-193,MOL-00918,100.0,mg
PMBJP-194,MOL-01941,10.0,mg
PMBJP-196,MOL-01195,,
PMBJP-197,MOL-01198,10.0,g
PMBJP-198,MOL-00694,250.0,mg
PMBJP-198,MOL-01312,50.0,mg
PMBJP-198,MOL-00030,5.0,ml
PMBJP-199,MOL-01404,10.0,mg
PMBJP-200,MOL-01404,5.0,mg
PMBJP-201,MOL-01410,200.0,mg
PMBJP-202,MOL-01410,400.0,mg
PMBJP-203,MOL-01439,200.0,mcg
PMBJP-206,MOL-01576,20.0,mg
PMBJP-206,MOL-00673,10.0,mg
PMBJP-207,MOL-01576,20.0,mg
PMBJP-208,MOL-01578,2.0,mg
PMBJP-209,MOL-01578,4.0,mg
PMBJP-210,MOL-01586,500.0,mg
PMBJP-212,MOL-01628,40.0,mg
PMBJP-213,MOL-01628,40.0,mg
PMBJP-214,MOL-01827,20.0,mg
PMBJP-214,MOL-00673,30.0,mg
PMBJP-215,MOL-01827,20.0,mg
PMBJP-216,MOL-01839,25.0,mg
PMBJP-217,MOL-01839,150.0,mg
PMBJP-218,MOL-01839,300.0,mg
PMBJP-220,MOL-00309,500.0,mg
PMBJP-220,MOL-02289,250.0,iu
PMBJP-223,MOL-01815,10.0,mg
PMBJP-223,MOL-00691,2.5,mg
PMBJP-223,MOL-00893,10.0,mg
PMBJP-224,MOL-00893,5.0,mg
PMBJP-225,MOL-01128,,
PMBJP-225,MOL-00894,,
PMBJP-227,MOL-01751,,
PMBJP-230,MOL-02288,,
PMBJP-231,MOL-02287,10.0,mg
PMBJP-232,MOL-02287,,
PMBJP-235,MOL-00287,1.0,mg
PMBJP-236,MOL-00287,100.0,mcg
PMBJP-238,MOL-00287,200.0,mcg
PMBJP-239,MOL-00394,5.0,mg
PMBJP-240,MOL-00394,10.0,mg
PMBJP-245,MOL-00807,77.0,mg
PMBJP-245,MOL-02108,23.0,mg
PMBJP-246,MOL-00851,120.0,mg
PMBJP-247,MOL-00851,180.0,mg
PMBJP-248,MOL-01238,5.0,mg
PMBJP-250,MOL-01453,5.0,mg
PMBJP-251,MOL-01453,10.0,mg
PMBJP-252,MOL-01453,10.0,mg
PMBJP-252,MOL-01237,5.0,mg
PMBJP-253,MOL-01699,25.0,mg
PMBJP-254,MOL-01793,5.0,mg
PMBJP-255,MOL-00043,100.0,mcg
PMBJP-256,MOL-00043,2.0,mg
PMBJP-259,MOL-00043,2.0,mg
PMBJP-260,MOL-00043,4.0,mg
PMBJP-261,MOL-00035,6.0,mg
PMBJP-263,MOL-00097,5.0,mg
PMBJP-263,MOL-00153,50.0,mg
PMBJP-264,MOL-00097,5.0,mg
PMBJP-265,MOL-00153,50.0,mg
PMBJP-266,MOL-00156,10.0,mg
PMBJP-267,MOL-00156,20.0,mg
PMBJP-268,MOL-00472,100.0,mcg
PMBJP-269,MOL-00473,75.0,mg
PMBJP-270,MOL-00473,75.0,mg
PMBJP-270,MOL-00024,75.0,mg
PMBJP-271,MOL-00647,30.0,mg
PMBJP-272,MOL-00647,60.0,mg
PMBJP-273,MOL-00666,250.0,mg
PMBJP-274,MOL-00675,200.0,mg
PMBJP-275,MOL-00738,5.0,mg
PMBJP-276,MOL-00745,40.0,mg
PMBJP-277,MOL-00745,60.0,mg
PMBJP-278,MOL-00919,10.0,mg
PMBJP-279,MOL-00919,40.0,mg
PMBJP-280,MOL-01007,5000.0,iu
PMBJP-281,MOL-01007,25000.0,iu
PMBJP-283,MOL-01145,10.0,mg
PMBJP-285,MOL-00097,5.0,mg
PMBJP-285,MOL-01270,5.0,mg
PMBJP-286,MOL-01270,5.0,mg
PMBJP-287,MOL-01288,50.0,mg
PMBJP-287,MOL-01034,12.5,mg
PMBJP-288,MOL-01288,25.0,mg
PMBJP-289,MOL-01288,50.0,mg
PMBJP-290,MOL-01407,25.0,mg
PMBJP-291,MOL-01407,50.0,mg
PMBJP-293,MOL-01836,2.5,mg
PMBJP-294,MOL-01836,5.0,mg
PMBJP-295,MOL-01975,10.0,mg
PMBJP-296,MOL-01975,20.0,mg
PMBJP-298,MOL-02072,40.0,mg
PMBJP-298,MOL-01033,12.5,mg
PMBJP-299,MOL-02072,20.0,mg
PMBJP-300,MOL-02072,40.0,mg
PMBJP-301,MOL-02172,500.0,mg
PMBJP-302,MOL-02172,500.0,mg
PMBJP-304,MOL-00141,150.0,mg
PMBJP-305,MOL-00412,250.0,mg
PMBJP-311,MOL-00661,1.4,g
PMBJP-312,MOL-01850,20.5,g
PMBJP-313,MOL-00071,0.25,mg
PMBJP-314,MOL-00071,0.5,mg
PMBJP-316,MOL-00228,8.0,mg
PMBJP-317,MOL-00333,100.0,mg
PMBJP-319,MOL-00471,0.5,mg
PMBJP-320,MOL-00616,5.0,mg
PMBJP-321,MOL-00773,10.0,mg
PMBJP-322,MOL-00773,20.0,mg
PMBJP-323,MOL-00870,10.0,mg
PMBJP-324,MOL-00870,5.0,mg
PMBJP-325,MOL-00878,20.0,mg
PMBJP-326,MOL-01388,0.125,mg
PMBJP-327,MOL-01713,100.0,mg
PMBJP-328,MOL-01788,5.0,mg
PMBJP-329,MOL-01773,5.0,mg
PMBJP-330,MOL-01773,10.0,mg
PMBJP-332,MOL-01251,100.0,mcg
PMBJP-333,MOL-00591,0.5,mg
PMBJP-334,MOL-00591,4.0,mg
PMBJP-336,MOL-00059,100.0,mg
PMBJP-337,MOL-00469,50.0,mg
PMBJP-338,MOL-00159,0.6,mg
PMBJP-341,MOL-00349,0.5,%
PMBJP-344,MOL-00445,0.3,%
PMBJP-345,MOL-00947,0.3,%
PMBJP-351,MOL-02307,,
PMBJP-352,MOL-00290,5.0,mg
PMBJP-356,MOL-01253,2.0,%
PMBJP-357,MOL-01253,,
PMBJP-357,MOL-00754,,
PMBJP-358,MOL-01798,10.0,mg
PMBJP-359,MOL-02098,,
PMBJP-360,MOL-01422,200.0,mg
PMBJP-362,MOL-00248,40.0,iu
PMBJP-363,MOL-01092,100.0,iu
PMBJP-366,MOL-00964,5.0,mg
PMBJP-366,MOL-01368,500.0,mg
PMBJP-367,MOL-02296,0.3,mg
PMBJP-368,MOL-00961,60.0,mg
PMBJP-369,MOL-00013,50.0,mg
PMBJP-371,MOL-02296,0.2,mg
PMBJP-372,MOL-01368,500.0,mg
PMBJP-373,MOL-00143,60.0,mg
PMBJP-375,MOL-01824,300.0,mg
PMBJP-376,MOL-01068,500.0,mg
PMBJP-376,MOL-00436,500.0,mg
PMBJP-377,MOL-00460,300.0,mg
PMBJP-380,MOL-00506,500.0,mg
PMBJP-381,MOL-00368,200.0,mg
PMBJP-381,MOL-01558,200.0,mg
PMBJP-382,MOL-01260,600.0,mg
PMBJP-383,MOL-00375,200.0,mg
PMBJP-383,MOL-00455,125.0,mg
PMBJP-384,MOL-01154,100.0,mg
PMBJP-385,MOL-00368,200.0,mg
PMBJP-385,MOL-00455,125.0,mg
PMBJP-386,MOL-00630,50.0,mg
PMBJP-387,MOL-02086,250.0,mg
PMBJP-391,MOL-01459,400.0,mg
PMBJP-392,MOL-00986,250.0,mg
PMBJP-393,MOL-00031,800.0,mg
PMBJP-395,MOL-00384,500.0,mg
PMBJP-395,MOL-00455,125.0,mg
PMBJP-396,MOL-01267,50.0,mg
PMBJP-400,MOL-01175,200.0,mg
PMBJP-401,MOL-00102,250.0,mg
PMBJP-401,MOL-00455,125.0,mg
PMBJP-402,MOL-00102,875.0,mg
PMBJP-402,MOL-00455,125.0,mg
PMBJP-403,MOL-00460,300.0,mg
PMBJP-404,MOL-01260,600.0,mg
PMBJP-405,MOL-01558,200.0,mg
PMBJP-407,MOL-01158,12.0,mg
PMBJP-410,MOL-02177,440.0,mg
PMBJP-412,MOL-00172,50.0,mg
PMBJP-413,MOL-01379,7.5,mg
PMBJP-414,MOL-02172,500.0,mg
PMBJP-414,MOL-01334,250.0,mg
PMBJP-416,MOL-01771,5.0,mg
PMBJP-417,MOL-02072,40.0,mg
PMBJP-417,MOL-00097,5.0,mg
PMBJP-418,MOL-01903,20.0,mg
PMBJP-419,MOL-01007,50.0,iu
PMBJP-419,MOL-00222,2.0,mg
PMBJP-420,MOL-00156,10.0,mg
PMBJP-420,MOL-00473,75.0,mg
PMBJP-421,MOL-01495,5.0,mg
PMBJP-422,MOL-02163,10.0,mg
PMBJP-423,MOL-00254,5.0,mg
PMBJP-424,MOL-00352,3.125,mg
PMBJP-425,MOL-00647,90.0,mg
PMBJP-426,MOL-00017,2.0,mg
PMBJP-427,MOL-01917,2.5,mg
PMBJP-428,MOL-00638,0.25,mg
PMBJP-429,MOL-00156,10.0,mg
PMBJP-429,MOL-00833,160.0,mg
PMBJP-430,MOL-00093,200.0,mg
PMBJP-431,MOL-01836,5.0,mg
PMBJP-431,MOL-01033,12.5,mg
PMBJP-432,MOL-01564,40.0,mg
PMBJP-433,MOL-01147,30.0,mg
PMBJP-434,MOL-01799,40.0,mg
PMBJP-435,MOL-01903,10.0,mg
PMBJP-435,MOL-00833,160.0,mg
PMBJP-436,MOL-02072,40.0,mg
PMBJP-436,MOL-00420,12.5,mg
PMBJP-437,MOL-01519,20.0,mg
PMBJP-438,MOL-01072,1.5,mg
PMBJP-439,MOL-01564,40.0,mg
PMBJP-439,MOL-01033,12.5,mg
PMBJP-440,MOL-01407,50.0,mg
PMBJP-440,MOL-00097,5.0,mg
PMBJP-441,MOL-01288,50.0,mg
PMBJP-441,MOL-00097,5.0,mg
PMBJP-442,MOL-00833,160.0,mg
PMBJP-443,MOL-01145,5.0,mg
PMBJP-444,MOL-00738,10.0,mg
PMBJP-444,MOL-01033,25.0,mg
PMBJP-445,MOL-01564,20.0,mg
PMBJP-445,MOL-00097,5.0,mg
PMBJP-446,MOL-00097,5.0,mg
PMBJP-446,MOL-01033,12.5,mg
PMBJP-447,MOL-01460,0.3,mg
PMBJP-448,MOL-01836,5.0,mg
PMBJP-448,MOL-00097,5.0,mg
PMBJP-449,MOL-02015,25.0,mg
PMBJP-450,MOL-01192,100.0,mg
PMBJP-451,MOL-02020,0.0,iu
PMBJP-452,MOL-02304,5.0,mg
PMBJP-453,MOL-00254,5.0,mg
PMBJP-453,MOL-01033,6.25,mg
PMBJP-454,MOL-02253,80.0,mg
PMBJP-455,MOL-02266,80.0,mg
PMBJP-456,MOL-00156,40.0,mg
PMBJP-457,MOL-02165,20.0,mg
PMBJP-458,MOL-01192,5.0,mg
PMBJP-459,MOL-01040,,
PMBJP-459,MOL-01449,,
PMBJP-459,MOL-02181,,
PMBJP-461,MOL-00229,,
PMBJP-461,MOL-01501,,
PMBJP-462,MOL-00229,,
PMBJP-462,MOL-00461,,
PMBJP-463,MOL-01468,2.0,%
PMBJP-465,MOL-01628,40.0,mg
PMBJP-465,MOL-00673,30.0,mg
PMBJP-466,MOL-02241,300.0,mg
PMBJP-467,MOL-00626,10.0,mg
PMBJP-467,MOL-01334,250.0,mg
PMBJP-468,MOL-00183,5.0,ml
PMBJP-471,MOL-01602,,
PMBJP-471,MOL-01312,,
PMBJP-472,MOL-00778,40.0,mg
PMBJP-472,MOL-00673,30.0,mg
PMBJP-473,MOL-01628,40.0,mg
PMBJP-473,MOL-01250,75.0,mg
PMBJP-474,MOL-00691,10.0,mg
PMBJP-474,MOL-01815,10.0,mg
PMBJP-475,MOL-02025,500.0,mg
PMBJP-476,MOL-01638,1.25,ml
PMBJP-476,MOL-01426,3.75,ml
PMBJP-476,MOL-01993,3.33,mg
PMBJP-477,MOL-00407,5.0,mg
PMBJP-477,MOL-00459,2.5,mg
PMBJP-478,MOL-01993,10.0,mg
PMBJP-479,MOL-02009,7.15,g
PMBJP-479,MOL-02186,550.0,mg
PMBJP-480,MOL-00778,40.0,mg
PMBJP-480,MOL-01250,75.0,mg
PMBJP-481,MOL-01871,400.0,mg
PMBJP-482,MOL-01827,20.0,mg
PMBJP-482,MOL-01250,75.0,mg
PMBJP-483,MOL-01280,2.0,mg
PMBJP-484,MOL-00778,40.0,mg
PMBJP-485,MOL-01793,25.0,mg
PMBJP-486,MOL-01623,170.0,mg
PMBJP-486,MOL-00030,80.0,mg
PMBJP-487,MOL-00626,10.0,mg
PMBJP-487,MOL-00030,40.0,mg
PMBJP-488,MOL-01203,15.0,mg
PMBJP-489,MOL-02034,1000.0,mg
PMBJP-491,MOL-01153,50.0,mg
PMBJP-492,MOL-02034,500.0,mg
PMBJP-495,MOL-00840,160.0,mg
PMBJP-495,MOL-00523,7.5,mcg
PMBJP-495,MOL-00893,0.5,mg
PMBJP-496,MOL-00710,10.0,mg
PMBJP-497,MOL-01422,200.0,mg
PMBJP-497,MOL-01439,200.0,mcg
PMBJP-498,MOL-00843,100.0,mg
PMBJP-498,MOL-00893,1.5,mg
PMBJP-499,MOL-01542,5.0,mg
PMBJP-500,MOL-01231,100.0,mcg
PMBJP-501,MOL-00229,0.5,mg
PMBJP-502,MOL-00568,6.0,mg
PMBJP-503,MOL-01397,1000.0,mg
PMBJP-504,MOL-01486,25.0,mg
PMBJP-505,MOL-00338,10.0,mg
PMBJP-506,MOL-01231,50.0,mcg
PMBJP-507,MOL-00338,5.0,mg
PMBJP-508,MOL-01227,500.0,mg
PMBJP-509,MOL-01043,200.0,mg
PMBJP-510,MOL-00018,325.0,mg
PMBJP-510,MOL-02169,37.5,mg
PMBJP-511,MOL-00018,650.0,mg
PMBJP-512,MOL-00016,100.0,mg
PMBJP-512,MOL-00018,325.0,mg
PMBJP-512,MOL-01957,15.0,mg
PMBJP-513,MOL-01731,20.0,mg
PMBJP-514,MOL-00431,,
PMBJP-514,MOL-02218,,
PMBJP-515,MOL-01334,100.0,mg
PMBJP-516,MOL-00016,200.0,mg
PMBJP-517,MOL-02114,4.0,mg
PMBJP-517,MOL-00016,100.0,mg
PMBJP-518,MOL-00186,10.0,mg
PMBJP-519,MOL-01178,10.0,mg
PMBJP-521,MOL-02169,100.0,mg
PMBJP-522,MOL-00052,0.25,mcg
PMBJP-523,MOL-01488,500.0,mg
PMBJP-525,MOL-00619,,
PMBJP-525,MOL-01257,,
PMBJP-525,MOL-01386,,
PMBJP-525,MOL-01348,,
PMBJP-528,MOL-00018,325.0,mg
PMBJP-528,MOL-01710,10.0,mg
PMBJP-528,MOL-00416,2.0,mg
PMBJP-529,MOL-01249,1.25,mg
PMBJP-529,MOL-01124,500.0,mcg
PMBJP-530,MOL-00899,6.0,mcg
PMBJP-530,MOL-00287,200.0,mcg
PMBJP-532,MOL-01926,50.0,mcg
PMBJP-532,MOL-00890,250.0,mcg
PMBJP-534,MOL-01230,200.0,mcg
PMBJP-534,MOL-00197,200.0,mcg
PMBJP-537,MOL-00080,15.0,mg
PMBJP-537,MOL-00988,50.0,mg
PMBJP-537,MOL-01249,1.0,mg
PMBJP-539,MOL-00023,600.0,mg
PMBJP-540,MOL-01249,1.25,mg
PMBJP-540,MOL-00287,1.0,mg
PMBJP-541,MOL-00014,100.0,mg
PMBJP-542,MOL-01925,0.65,%
PMBJP-543,MOL-01350,55.0,mg
PMBJP-543,MOL-01723,12.5,mg
PMBJP-544,MOL-00890,0.5,mg
PMBJP-555,MOL-00688,400.0,mg
PMBJP-556,MOL-01453,10.0,mg
PMBJP-556,MOL-00851,120.0,mg
PMBJP-558,MOL-00174,140.0,mcg
PMBJP-558,MOL-00890,50.0,mcg
PMBJP-559,MOL-00043,2.0,mg
PMBJP-559,MOL-02108,100.0,mg
PMBJP-560,MOL-00890,50.0,mcg
PMBJP-561,MOL-01249,1.0,mg
PMBJP-562,MOL-01283,10.0,mg
PMBJP-563,MOL-01609,0.5,mg
PMBJP-564,MOL-02138,18.0,mcg
PMBJP-564,MOL-00899,12.0,mcg
PMBJP-565,MOL-02138,18.0,mcg
PMBJP-565,MOL-00899,12.0,mcg
PMBJP-565,MOL-00432,400.0,mcg
PMBJP-566,MOL-01124,250.0,mcg
PMBJP-567,MOL-00043,100.0,mcg
PMBJP-567,MOL-01124,20.0,mcg
PMBJP-568,MOL-01926,25.0,mcg
PMBJP-568,MOL-00890,250.0,mcg
PMBJP-569,MOL-01965,50.0,mg
PMBJP-570,MOL-02047,20.0,mg
PMBJP-571,MOL-02055,0.4,mg
PMBJP-571,MOL-00708,0.5,mg
PMBJP-574,MOL-01829,,
PMBJP-580,MOL-00955,,
PMBJP-580,MOL-01462,,
PMBJP-581,MOL-00309,500.0,mg
PMBJP-581,MOL-00308,0.25,mcg
PMBJP-581,MOL-02319,7.5,mg
PMBJP-582,MOL-02295,,
PMBJP-582,MOL-01432,,
PMBJP-583,MOL-00534,4.0,mg
PMBJP-585,MOL-00422,60000.0,iu
PMBJP-586,MOL-01331,1500.0,mcg
PMBJP-586,MOL-01185,500.0,mg
PMBJP-586,MOL-00893,1.5,mg
PMBJP-588,MOL-02290,400.0,mg
PMBJP-589,MOL-00309,500.0,mg
PMBJP-589,MOL-00308,0.25,mcg
PMBJP-590,MOL-01466,1000.0,mcg
PMBJP-590,MOL-01085,1.5,mg
PMBJP-591,MOL-01331,500.0,mcg
PMBJP-592,MOL-01186,,
PMBJP-592,MOL-01465,,
PMBJP-593,MOL-00893,15.0,mg
PMBJP-593,MOL-00524,500.0,mcg
PMBJP-593,MOL-01511,200.0,mg
PMBJP-594,MOL-00604,,
PMBJP-595,MOL-02110,100.0,mg
PMBJP-595,MOL-01815,1000.0,mcg
PMBJP-595,MOL-00523,3.0,ml
PMBJP-597,MOL-01815,50.0,mg
PMBJP-598,MOL-01776,75.0,mg
PMBJP-598,MOL-01331,750.0,mcg
PMBJP-599,MOL-01776,75.0,mg
PMBJP-601,MOL-00663,500.0,mg
PMBJP-603,MOL-00394,5.0,mg
PMBJP-603,MOL-01710,10.0,mg
PMBJP-603,MOL-00018,325.0,mg
PMBJP-608,MOL-00229,0.05,%
PMBJP-608,MOL-01924,3.0,%
PMBJP-609,MOL-01968,0.2,%
PMBJP-609,MOL-00408,0.2,%
PMBJP-610,MOL-00018,125.0,mg
PMBJP-610,MOL-01710,5.0,mg
PMBJP-610,MOL-00394,2.0,mg
PMBJP-611,MOL-00534,2.0,mg
PMBJP-612,MOL-01761,5.0,%
PMBJP-613,MOL-00619,50.0,mg
PMBJP-613,MOL-00018,325.0,mg
PMBJP-613,MOL-01957,10.0,mg
PMBJP-614,MOL-01637,,
PMBJP-614,MOL-00216,,
PMBJP-614,MOL-00405,,
PMBJP-614,MOL-02226,,
PMBJP-625,MOL-00281,8.0,mg
PMBJP-625,MOL-01710,5.0,mg
PMBJP-626,MOL-01175,2.0,%
PMBJP-627,MOL-00808,115.0,mg
PMBJP-627,MOL-02108,35.0,mg
PMBJP-628,MOL-00808,231.0,mg
PMBJP-628,MOL-02108,69.0,mg
PMBJP-629,MOL-01082,25.0,mg
PMBJP-630,MOL-01638,3.75,ml
PMBJP-630,MOL-01426,11.25,ml
PMBJP-631,MOL-00789,500.0,mg
PMBJP-632,MOL-00789,250.0,mg
PMBJP-633,MOL-00033,,
PMBJP-633,MOL-00460,,
PMBJP-634,MOL-00463,,
PMBJP-634,MOL-01501,,
PMBJP-634,MOL-01416,,
